pmid	title	doi	journal	pub_year	cancer_type	modality	task_type	study_design	screening_or_clinical	cohort_size	stage_info	input_modalities	model_type	comparator	auc	sensitivity	specificity	validation_type	key_limitations	relevance	design_quality	metric_comparability	generalizability	impact	total_score	core_library	category
39146624	Non-invasive diagnosis of pulmonary nodules by circulating tumor DNA methylation: A prospective multicenter study.	10.1016/j.lungcan.2024.107930	Lung cancer (Amsterdam, Netherlands)	2024	lung	other	diagnosis	prospective_cohort	clinical_diagnosis	95	early	CT|ctDNA			0.815	0.744	0.737	none	single-center	5	12	17	10	8	52	True	cat2_single_modality_screening
33092589	Artificial neural networks improve LDCT lung cancer screening: a comparative validation study.	10.1186/s12885-020-07465-1	BMC cancer	2020	lung	LDCT	screening	prospective_cohort	both	602		LDCT|CT	deep_learning	the lung-rads, the ann provided better sensitivity for the d		0.125	0.96	none		13	16	16	5	2	52	True	cat4_physical_exam_ai_model
38214839	Computer-aided diagnosis of distal metastasis in non-small cell lung cancer by low-dose CT based radiomics and deep learning signatures.	10.1007/s11547-024-01770-6	La Radiologia medica	2024	lung	LDCT	screening	prospective_cohort	both	674		LDCT|CT|clinical_features	deep_learning					external_validation		13	20	5	10	4	52	True	cat4_physical_exam_ai_model
41165038	The INSPECTOR study: enhanced feasibility for clinical translation of a multi-cancer early detection method based on enzyme-assisted high signal-to-noise ratio sequencing of methylated circulating tumor DNA.	10.1002/cac2.70071	Cancer communications (London, England)	2025	multi_cancer	cfDNA_methylation	screening	case_control	both	6342	mixed	cfDNA_methylation|ctDNA				0.832	0.991	external_validation		7	18	14	9	4	52	True	cat5_methylation_multimodal
34528761	Evaluating the clinical trends and benefits of low-dose computed tomography in lung cancer patients.	10.1002/cam4.4229	Cancer medicine	2021	lung	LDCT	screening	RCT	both	4664	mixed	LDCT|CT	logistic_regression	no screening, patients with ≥1 ldct were more than twice as	0.87			none		13	18	9	5	6	51	True	cat4_physical_exam_ai_model
37990399	A Highly Sensitive and Specific Non-Invasive Test through Genome-Wide 5-Hydroxymethylation Mapping for Early Detection of Lung Cancer.	10.1002/smtd.202300747	Small methods	2024	lung	cfDNA_methylation	screening	other	both	1092	early	cfDNA_methylation|LDCT|CT	other_ML					external_validation		20	16	4	7	4	51	True	cat5_methylation_multimodal
36701900	OWL: an optimized and independently validated machine learning prediction model for lung cancer screening based on the UK Biobank, PLCO, and NLST populations.	10.1016/j.ebiom.2023.104443	EBioMedicine	2023	lung	LDCT	screening	other	both	323344		LDCT|CT	random_forest	three competitive prediction models, i	0.855			none		13	12	9	5	12	51	True	cat4_physical_exam_ai_model
36832135	Machine Learning System for Lung Neoplasms Distinguished Based on Scleral Data.	10.3390/diagnostics13040648	Diagnostics (Basel, Switzerland)	2023	lung	LDCT	screening	other	both	3923		LDCT	deep_learning		0.897	0.836	0.828	none		16	10	19	2	3	50	True	cat4_physical_exam_ai_model
37248730	Benign-malignant classification of pulmonary nodules by low-dose spiral computerized tomography and clinical data with machine learning in opportunistic screening.	10.1002/cam4.5886	Cancer medicine	2023	other	LDCT	screening	other	both	135503		LDCT|clinical_features	random_forest					external_validation		5	16	15	7	7	50	True	cat4_physical_exam_ai_model
38752718	Leveraging Serial Low-Dose CT Scans in Radiomics-based Reinforcement Learning to Improve Early Diagnosis of Lung Cancer at Baseline Screening.	10.1148/ryct.230196	Radiology. Cardiothoracic imaging	2024	lung	LDCT	screening	retrospective_cohort	both	1951		LDCT	other_ML	lung ct screening reporting and data system (nri, 0				none	retrospective study	13	17	7	5	8	50	True	cat4_physical_exam_ai_model
32739872	Development and validation of a novel scoring system developed from a nomogram to identify malignant pleural effusion.	10.1016/j.ebiom.2020.102924	EBioMedicine	2020	lung	blood_protein	diagnosis	retrospective_cohort	clinical_diagnosis	1261		blood_protein	logistic_regression					external_validation	retrospective study	5	19	13	7	6	50	True	cat2_single_modality_screening
41775478	Performance validation of an artificial intelligence-assisted chest radiograph algorithm for incidental pulmonary nodule detection in Malaysian healthcare facilities: a multicentre cross-sectional study protocol.	10.1136/bmjopen-2025-103331	BMJ open	2026	lung	LDCT	screening	prospective_cohort	both			LDCT	other_ML					none		13	10	12	10	4	49	False	cat4_physical_exam_ai_model
39088983	Detecting pulmonary malignancy against benign nodules using noninvasive cell-free DNA fragmentomics assay.	10.1016/j.esmoop.2024.103595	ESMO open	2024	lung	LDCT	screening	other	screening	193		LDCT|CT|cfDNA_fragmentomics	ensemble				0.634	external_validation		13	11	16	5	4	49	False	cat4_physical_exam_ai_model
41672932	LedX: A novel blood-based early lung cancer detection approach with exceptional accuracy and robustness.	10.1097/CM9.0000000000003972	Chinese medical journal	2026	lung	cfDNA_methylation	screening	other	both	325	early	cfDNA_methylation|LDCT|CT|ctDNA		ldct or ledx alone		0.82	0.817	none		20	6	17	1	4	48	False	cat5_methylation_multimodal
36909593	Early Detection of Lung Cancer in the NLST Dataset.	10.1101/2023.03.01.23286632	medRxiv : the preprint server for health sciences	2023	lung	LDCT	screening	other	both	1138	early	LDCT|CT|imaging	deep_learning					none		13	11	4	5	15	48	False	cat4_physical_exam_ai_model
34264825	Lung Nodule Malignancy Prediction in Sequential CT Scans: Summary of ISBI 2018 Challenge.	10.1109/TMI.2021.3097665	IEEE transactions on medical imaging	2021	lung	LDCT	screening	other	both	2018		LDCT|imaging	deep_learning					none		16	13	12	5	2	48	False	cat4_physical_exam_ai_model
40847012	An intelligent diagnostic model for pulmonary nodules utilizing chest radiographic imagery and its application in community-based lung cancer screening.	10.1038/s41416-025-03147-6	British journal of cancer	2025	lung	LDCT	screening	other	both	24697		LDCT	deep_learning	mainstream dl algorithms and traditional machine learning (m	0.933			none		16	12	7	5	8	48	False	cat4_physical_exam_ai_model
32864596	Prediction of lung cancer risk at follow-up screening with low-dose CT: a training and validation study of a deep learning method.	10.1016/S2589-7500(19)30159-1	The Lancet. Digital health	2019	lung	LDCT	screening	other	both	25097		LDCT|CT	deep_learning	lung-rads and volume doubling time using time-dependent roc				none		16	13	4	5	10	48	False	cat4_physical_exam_ai_model
40507370	Effectiveness of Artificial Intelligence Models in Predicting Lung Cancer Recurrence: A Gene Biomarker-Driven Review.	10.3390/cancers17111892	Cancers	2025	lung	multimodal	multimodal_fusion	other	clinical_diagnosis	1348		clinical_features	SVM					external_validation		11	16	7	10	4	48	False	cat2_single_modality_screening
37260165	Lung cancer risk discrimination of prediagnostic proteomics measurements compared with existing prediction tools.	10.1093/jnci/djad071	Journal of the National Cancer Institute	2023	lung	other	risk_assessment	prospective_cohort	clinical_diagnosis	624		proteomics		existing prediction tools		0.14	0.86	none		5	16	19	5	3	48	False	cat2_single_modality_screening
39333750	Noninvasive multi-cancer detection using blood-based cell-free microRNAs.	10.1038/s41598-024-73783-0	Scientific reports	2024	lung	other	screening	other	both	4875	mixed	miRNA						external_validation		14	16	6	7	4	47	False	cat2_single_modality_screening
39748775	Combination of Hotspot Mutations With Methylation and Fragmentomic Profiles to Enhance Multi-Cancer Early Detection.	10.1002/cam4.70575	Cancer medicine	2025	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	304	mixed	cfDNA_methylation|ctDNA				0.785	0.977	none		14	9	14	1	8	46	False	cat5_methylation_multimodal
38195644	Radiomics analysis to predict pulmonary nodule malignancy using machine learning approaches.	10.1136/thorax-2023-220226	Thorax	2024	lung	LDCT	screening	other	screening	6865		LDCT	random_forest		0.93			none		13	14	9	2	8	46	False	cat4_physical_exam_ai_model
39481281	Lung nodule classification using radiomics model trained on degraded SDCT images.	10.1016/j.cmpb.2024.108474	Computer methods and programs in biomedicine	2024	lung	LDCT	screening	other	screening	1010		LDCT|CT	logistic_regression					none		13	14	13	2	4	46	False	cat4_physical_exam_ai_model
37969955	A novel multimodal prediction model based on DNA methylation biomarkers and low-dose computed tomography images for identifying early-stage lung cancer.	10.21147/j.issn.1000-9604.2023.05.08	Chinese journal of cancer research = Chung-kuo yen cheng yen chiu	2023	lung	LDCT	diagnosis	other	clinical_diagnosis	257	early	LDCT|CT	deep_learning		0.894			external_validation		13	12	7	6	7	45	False	cat4_physical_exam_ai_model
33482120	Development and Cost Analysis of a Lung Nodule Management Strategy Combining Artificial Intelligence and Lung-RADS for Baseline Lung Cancer Screening.	10.1016/j.jacr.2020.11.014	Journal of the American College of Radiology : JACR	2021	lung	LDCT	screening	other	both	3197		LDCT	other_ML				0.91	none		16	11	10	2	6	45	False	cat4_physical_exam_ai_model
40642085	The prognostic and clinicopathological value of HALP score in non-small cell lung cancer.	10.3389/fimmu.2025.1576326	Frontiers in immunology	2025	lung	other	diagnosis	prospective_cohort	clinical_diagnosis	7024		other						none		5	18	6	12	4	45	False	cat2_single_modality_screening
41737326	Exploration of multi-omics liquid biopsy approaches for multi-cancer early detection: The PROMISE study.	10.1016/j.xinn.2025.101076	Innovation (Cambridge (Mass.))	2026	multi_cancer	cfDNA_methylation	diagnosis	other	clinical_diagnosis	1706		cfDNA_methylation	other_ML	the methylation-based classifier, the multimodal classifier		0.751	0.988	none		10	12	16	2	4	44	False	cat5_methylation_multimodal
41077273	Pulmonary nodules: A study on combined diagnostic methods and therapeutic evaluation.	10.1016/j.cca.2025.120647	Clinica chimica acta; international journal of clinical chemistry	2026	lung	cfDNA_methylation	screening	other	both	141		cfDNA_methylation|LDCT|CT|blood_protein|imaging	logistic_regression		0.7743	0.78	0.768	none		20	4	16	0	4	44	False	cat5_methylation_multimodal
31037156	Non-invasive diagnosis of early-stage lung cancer using high-throughput targeted DNA methylation sequencing of circulating tumor DNA (ctDNA).	10.7150/thno.28119	Theranostics	2019	lung	LDCT	screening	other	both	118	early	LDCT|ctDNA	other_ML			0.927	0.928	external_validation		13	10	14	5	2	44	False	cat2_single_modality_screening
41308576	Potential for AI as first reader in lung cancer screening.	10.1016/j.ejrad.2025.112561	European journal of radiology	2026	lung	LDCT	screening	other	both	4104		LDCT|CT|clinical_features	other_ML					none		16	10	8	2	8	44	False	cat4_physical_exam_ai_model
39818952	Toward a Computable Phenotype for Determining Eligibility of Lung Cancer Screening Using Electronic Health Records.	10.1200/CCI.24.00139	JCO clinical cancer informatics	2025	lung	LDCT	screening	other	both	5778		LDCT|CT|clinical_features		using structured data alone				none		16	13	6	5	4	44	False	cat4_physical_exam_ai_model
39231830	Artificial intelligence assisted automatic screening of opportunistic osteoporosis in computed tomography images from different scanners.	10.1007/s00330-024-11046-2	European radiology	2025	lung	LDCT	screening	other	both			LDCT|CT		the qct results as the diagnostic standard, the bmd assessed				external_validation		16	8	7	5	8	44	False	cat4_physical_exam_ai_model
40082126	Automated Fast Prediction of Bone Mineral Density From Low-dose Computed Tomography.	10.1016/j.acra.2025.02.041	Academic radiology	2025	lung	LDCT	screening	other	both	551		LDCT|CT	deep_learning			0.964		none		16	10	8	2	8	44	False	cat4_physical_exam_ai_model
29713615	Lung Nodule Detection via Deep Reinforcement Learning.	10.3389/fonc.2018.00108	Frontiers in oncology	2018	lung	LDCT	screening	other	screening	590	early	LDCT|CT	deep_learning			0.992	0.991	none		16	10	14	2	2	44	False	cat4_physical_exam_ai_model
37903855	Role of sex in lung cancer risk prediction based on single low-dose chest computed tomography.	10.1038/s41598-023-45671-6	Scientific reports	2023	lung	LDCT	screening	other	screening	10573		LDCT|CT						none		16	13	7	5	3	44	False	cat4_physical_exam_ai_model
29438522	RAS mutation analysis in circulating tumor DNA from patients with metastatic colorectal cancer: the AGEO RASANC prospective multicenter study.	10.1093/annonc/mdy061	Annals of oncology : official journal of the European Society for Medical Oncology	2018	lung	other	diagnosis	prospective_cohort	clinical_diagnosis	425	late	ctDNA						none		5	14	3	11	10	43	False	cat2_single_modality_screening
41591979	Epigenetic Instability Based Metrics in Cell-Free DNA for Early Cancer Detection.	10.1158/1078-0432.CCR-25-3384	Clinical cancer research : an official journal of the American Association for Cancer Research	2026	lung	cfDNA_methylation	screening	other	both	2084	early	cfDNA_methylation	other_ML					none		15	12	6	2	8	43	False	cat1_cfdna_methylation_mced
35182291	AI-Driven Model for Automatic Emphysema Detection in Low-Dose Computed Tomography Using Disease-Specific Augmentation.	10.1007/s10278-022-00599-7	Journal of digital imaging	2022	lung	LDCT	screening	other	both	240		LDCT|CT	deep_learning					none		13	11	7	4	8	43	False	cat4_physical_exam_ai_model
36719495	Automatic segmentation and radiomic texture analysis for osteoporosis screening using chest low-dose computed tomography.	10.1007/s00330-023-09421-6	European radiology	2023	lung	LDCT	screening	other	both	197		LDCT|CT	other_ML			0.93	0.89	none		13	6	17	0	7	43	False	cat4_physical_exam_ai_model
36929398	Recalibration of a Deep Learning Model for Low-Dose Computed Tomographic Images to Inform Lung Cancer Screening Intervals.	10.1001/jamanetworkopen.2023.3273	JAMA network open	2023	lung	LDCT	screening	other	both	10		LDCT|imaging	deep_learning	biennial screening based on the recalibrated lcp-cnn model				none		16	5	4	3	15	43	False	cat4_physical_exam_ai_model
39184040	Construction of a risk prediction model for lung infection after chemotherapy in lung cancer patients based on the machine learning algorithm.	10.3389/fonc.2024.1403392	Frontiers in oncology	2024	lung	multimodal	screening	retrospective_cohort	both	502		clinical_features	random_forest	alternative ml algorithms, achieving an accuracy of 81	0.888	0.811	0.825	none	retrospective study	5	13	19	2	4	43	False	cat2_single_modality_screening
39728732	Oral microbiota as a biomarker for predicting the risk of malignancy in indeterminate pulmonary nodules: a prospective multicenter study.	10.1097/JS9.0000000000002152	International journal of surgery (London, England)	2025	lung	other	diagnosis	prospective_cohort	clinical_diagnosis	70		other	random_forest		0.887			none		5	12	12	10	4	43	False	cat2_single_modality_screening
39747216	Integrated multiomics signatures to optimize the accurate diagnosis of lung cancer.	10.1038/s41467-024-55594-z	Nature communications	2025	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	2032		cfDNA_methylation						none		12	12	4	2	12	42	False	cat5_methylation_multimodal
35073982	Integrated 5-hydroxymethylcytosine and fragmentation signatures as enhanced biomarkers in lung cancer.	10.1186/s13148-022-01233-7	Clinical epigenetics	2022	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	157	late	cfDNA_methylation|cfDNA_fragmentomics			0.9257	0.875	0.8387	none		12	6	17	0	7	42	False	cat5_methylation_multimodal
39431470	Evaluation of a multimodal ctDNA-based assay for detection of aggressive cancers lacking standard screening tests.	10.1080/14796694.2024.2413266	Future oncology (London, England)	2025	lung	cfDNA_methylation	screening	other	both	739	mixed	cfDNA_methylation|cfDNA_fragmentomics|ctDNA				0.607		none		18	8	10	2	4	42	False	cat5_methylation_multimodal
38315228	Detection of the DNA methylation of seven genes contribute to the early diagnosis of lung cancer.	10.1007/s00432-023-05588-z	Journal of cancer research and clinical oncology	2024	lung	cfDNA_methylation	early_detection	other	clinical_diagnosis	149		cfDNA_methylation|LDCT|CT	logistic_regression	the healthy group				none		17	4	13	0	8	42	False	cat5_methylation_multimodal
35583893	One sample fits all: a microfluidic-assisted methodology for label-free isolation of CTCs with downstream methylation analysis of cfDNA in lung cancer.	10.1039/d2bm00044j	Biomaterials science	2022	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis		late	cfDNA_methylation				0.7619	1.0	none		15	2	14	0	11	42	False	cat5_methylation_multimodal
40380218	A plasma 9-microRNA signature for lung cancer early detection: a multicenter analysis.	10.1186/s40364-025-00787-x	Biomarker research	2025	lung	LDCT	screening	other	both	276	early	LDCT|CT|clinical_features|miRNA	other_ML		0.78			none		13	8	9	8	4	42	False	cat2_single_modality_screening
31732678	Pretreatment 18F-FDG PET/CT Radiomics Predict Local Recurrence in Patients Treated with Stereotactic Body Radiotherapy for Early-Stage Non-Small Cell Lung Cancer: A Multicentric Study.	10.2967/jnumed.119.228106	Journal of nuclear medicine : official publication, Society of Nuclear Medicine	2020	lung	LDCT	diagnosis	retrospective_cohort	clinical_diagnosis	27	early	LDCT|imaging				1.0	0.96	none		10	8	15	7	2	42	False	cat2_single_modality_screening
40237429	Artificial Intelligence for Low-Dose CT Lung Cancer Screening: Comparison of Utilization Scenarios.	10.2214/AJR.25.32829	AJR. American journal of roentgenology	2025	lung	LDCT	screening	prospective_cohort	both	366		LDCT		interpretation without ai (recall rate, 22				none	retrospective study	16	12	6	4	4	42	False	cat4_physical_exam_ai_model
35131147	Development of Deep Learning-based Automatic Scan Range Setting Model for Lung Cancer Screening Low-dose CT Imaging.	10.1016/j.acra.2021.12.001	Academic radiology	2022	lung	LDCT	screening	retrospective_cohort	screening	1984		LDCT|CT|imaging	deep_learning					none	retrospective study	16	17	0	2	7	42	False	cat4_physical_exam_ai_model
33658025	Automated detection of lung nodules and coronary artery calcium using artificial intelligence on low-dose CT scans for lung cancer screening: accuracy and prognostic value.	10.1186/s12916-021-01928-3	BMC medicine	2021	lung	LDCT	screening	retrospective_cohort	both	904		LDCT|CT|imaging	deep_learning				0.708	none		16	11	11	2	2	42	False	cat4_physical_exam_ai_model
41331845	Genome-wide methylation analysis of circulating cell-free DNA identifies an episignature in lung cancer: validation of EMP2 as a potential biomarker.	10.1186/s13148-025-02026-4	Clinical epigenetics	2025	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	47	late	cfDNA_methylation	logistic_regression		0.75			external_validation		12	10	6	5	8	41	False	cat1_cfdna_methylation_mced
41869572	Evaluation of DNA Methylation in TAC1, SOX17, and RASSF1A for the Early Diagnosis of Lung Cancer.	10.2147/CMAR.S573663	Cancer management and research	2026	lung	cfDNA_methylation	early_detection	other	clinical_diagnosis	149	mixed	cfDNA_methylation|LDCT|CT		benign/healthy individuals	0.95	0.977	0.966	none		17	4	16	0	4	41	False	cat5_methylation_multimodal
41430273	Dynamic screening initiation using 16 plasma protein biomarkers with polygenic risk and PLCOm2012: a precision prevention framework for lung cancer.	10.1186/s12967-025-07468-1	Journal of translational medicine	2025	lung	LDCT	screening	prospective_cohort	both			LDCT|CT|blood_protein|clinical_features|proteomics						none		16	8	3	10	4	41	False	cat3_physical_exam_traditional_model
34870218	Deep Learning for Lung Cancer Detection on Screening CT Scans: Results of a Large-Scale Public Competition and an Observer Study with 11 Radiologists.	10.1148/ryai.2021210027	Radiology. Artificial intelligence	2021	lung	LDCT	screening	retrospective_cohort	both	100		LDCT|imaging	deep_learning	an observer study of 11 radiologists that assessed the same				none	retrospective study	16	7	7	5	6	41	False	cat4_physical_exam_ai_model
