pmid	title	doi	journal	pub_year	cancer_type	modality	task_type	study_design	screening_or_clinical	cohort_size	stage_info	input_modalities	model_type	comparator	auc	sensitivity	specificity	validation_type	key_limitations	relevance	design_quality	metric_comparability	generalizability	impact	total_score	core_library	category
39146624	Non-invasive diagnosis of pulmonary nodules by circulating tumor DNA methylation: A prospective multicenter study.	10.1016/j.lungcan.2024.107930	Lung cancer (Amsterdam, Netherlands)	2024	lung	other	diagnosis	prospective_cohort	clinical_diagnosis	95	early	CT|ctDNA			0.815	0.744	0.737	none	single-center	5	12	17	10	8	52	True	cat2_single_modality_screening
33092589	Artificial neural networks improve LDCT lung cancer screening: a comparative validation study.	10.1186/s12885-020-07465-1	BMC cancer	2020	lung	LDCT	screening	prospective_cohort	both	602		LDCT|CT	deep_learning	the lung-rads, the ann provided better sensitivity for the d		0.125	0.96	none		13	16	16	5	2	52	True	cat4_physical_exam_ai_model
38214839	Computer-aided diagnosis of distal metastasis in non-small cell lung cancer by low-dose CT based radiomics and deep learning signatures.	10.1007/s11547-024-01770-6	La Radiologia medica	2024	lung	LDCT	screening	prospective_cohort	both	674		LDCT|CT|clinical_features	deep_learning					external_validation		13	20	5	10	4	52	True	cat4_physical_exam_ai_model
41165038	The INSPECTOR study: enhanced feasibility for clinical translation of a multi-cancer early detection method based on enzyme-assisted high signal-to-noise ratio sequencing of methylated circulating tumor DNA.	10.1002/cac2.70071	Cancer communications (London, England)	2025	multi_cancer	cfDNA_methylation	screening	case_control	both	6342	mixed	cfDNA_methylation|ctDNA				0.832	0.991	external_validation		7	18	14	9	4	52	True	cat5_methylation_multimodal
34528761	Evaluating the clinical trends and benefits of low-dose computed tomography in lung cancer patients.	10.1002/cam4.4229	Cancer medicine	2021	lung	LDCT	screening	RCT	both	4664	mixed	LDCT|CT	logistic_regression	no screening, patients with ≥1 ldct were more than twice as	0.87			none		13	18	9	5	6	51	True	cat4_physical_exam_ai_model
37990399	A Highly Sensitive and Specific Non-Invasive Test through Genome-Wide 5-Hydroxymethylation Mapping for Early Detection of Lung Cancer.	10.1002/smtd.202300747	Small methods	2024	lung	cfDNA_methylation	screening	other	both	1092	early	cfDNA_methylation|LDCT|CT	other_ML					external_validation		20	16	4	7	4	51	True	cat5_methylation_multimodal
36701900	OWL: an optimized and independently validated machine learning prediction model for lung cancer screening based on the UK Biobank, PLCO, and NLST populations.	10.1016/j.ebiom.2023.104443	EBioMedicine	2023	lung	LDCT	screening	other	both	323344		LDCT|CT	random_forest	three competitive prediction models, i	0.855			none		13	12	9	5	12	51	True	cat4_physical_exam_ai_model
36832135	Machine Learning System for Lung Neoplasms Distinguished Based on Scleral Data.	10.3390/diagnostics13040648	Diagnostics (Basel, Switzerland)	2023	lung	LDCT	screening	other	both	3923		LDCT	deep_learning		0.897	0.836	0.828	none		16	10	19	2	3	50	True	cat4_physical_exam_ai_model
37248730	Benign-malignant classification of pulmonary nodules by low-dose spiral computerized tomography and clinical data with machine learning in opportunistic screening.	10.1002/cam4.5886	Cancer medicine	2023	other	LDCT	screening	other	both	135503		LDCT|clinical_features	random_forest					external_validation		5	16	15	7	7	50	True	cat4_physical_exam_ai_model
38752718	Leveraging Serial Low-Dose CT Scans in Radiomics-based Reinforcement Learning to Improve Early Diagnosis of Lung Cancer at Baseline Screening.	10.1148/ryct.230196	Radiology. Cardiothoracic imaging	2024	lung	LDCT	screening	retrospective_cohort	both	1951		LDCT	other_ML	lung ct screening reporting and data system (nri, 0				none	retrospective study	13	17	7	5	8	50	True	cat4_physical_exam_ai_model
32739872	Development and validation of a novel scoring system developed from a nomogram to identify malignant pleural effusion.	10.1016/j.ebiom.2020.102924	EBioMedicine	2020	lung	blood_protein	diagnosis	retrospective_cohort	clinical_diagnosis	1261		blood_protein	logistic_regression					external_validation	retrospective study	5	19	13	7	6	50	True	cat2_single_modality_screening
