pmid	title	doi	journal	pub_year	cancer_type	modality	task_type	study_design	screening_or_clinical	cohort_size	stage_info	input_modalities	model_type	comparator	auc	sensitivity	specificity	validation_type	key_limitations	relevance	design_quality	metric_comparability	generalizability	impact	total_score	core_library	category
32420067	DNA methylation markers that correlate with occult lymph node metastases of non-small cell lung cancer and a preliminary prediction model.	10.21037/tlcr.2020.03.13	Translational lung cancer research	2020	lung	cfDNA_methylation	diagnosis	other	both	119	early	cfDNA_methylation|clinical_features	random_forest	those without metastases, 878 and 52 genes were differential				none		15	7	6	0	6	34	False	cat5_methylation_multimodal
40020968	Clinicopathological Predictors of the Presence of Blood Circulating Tumor DNA in Early-Stage Non-Small Cell Lung Cancers.	10.1016/j.modpat.2025.100744	Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc	2025	lung	cfDNA_methylation	screening	other	both	180	early	cfDNA_methylation|ctDNA	other_ML					none		15	5	3	0	9	32	False	cat5_methylation_multimodal
37318381	Circulating cell-free DNA sequencing for early detection of lung cancer.	10.1080/14737159.2023.2224504	Expert review of molecular diagnostics	2023	lung	cfDNA_methylation	screening	prospective_cohort	both			cfDNA_methylation|cfDNA_fragmentomics						none		15	8	3	3	3	32	False	cat5_methylation_multimodal
40255184	Genomics and the early diagnosis of lung cancer.	10.1080/17410541.2025.2494982	Personalized medicine	2025	lung	cfDNA_methylation	screening	other	both		early	cfDNA_methylation|LDCT|CT|imaging|cfDNA_fragmentomics|ctDNA						none		20	2	6	0	4	32	False	cat5_methylation_multimodal
34800919	Combined multimodal ctDNA analysis and radiological imaging for tumor surveillance in Non-small cell lung cancer.	10.1016/j.tranon.2021.101279	Translational oncology	2022	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	61	late	cfDNA_methylation|CT|imaging|ctDNA						none		15	4	7	0	3	29	False	cat5_methylation_multimodal
31911847	Clinical applications of liquid biopsies for early lung cancer detection.		American journal of cancer research	2019	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis		late	cfDNA_methylation|miRNA						none		12	2	6	0	6	26	False	cat5_methylation_multimodal
41603032	Expanding role of cell-free DNA for the early diagnosis and monitoring of pulmonary diseases.	10.1097/CM9.0000000000003955	Chinese medical journal	2026	lung	cfDNA_methylation	early_detection	other	clinical_diagnosis			cfDNA_methylation|cfDNA_fragmentomics						none		15	4	3	0	4	26	False	cat5_methylation_multimodal
40027282	Liquid biopsy in detecting early non-small cell lung cancer.	10.1016/j.jlb.2023.100001	The journal of liquid biopsy	2023	lung	cfDNA_methylation	screening	other	both		mixed	cfDNA_methylation|LDCT|CT						none		20	2	0	0	3	25	False	cat5_methylation_multimodal
40468033	A DNA alteration and methylation co-detection method for clinical purpose.	10.1038/s44321-025-00259-7	EMBO molecular medicine	2025	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	27		cfDNA_methylation|ctDNA						none		12	3	3	0	4	22	False	cat5_methylation_multimodal
33901468	Alu cell-free DNA concentration, Alu index, and LINE-1 hypomethylation as a cancer predictor.	10.1016/j.clinbiochem.2021.04.021	Clinical biochemistry	2021	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis			cfDNA_methylation|cfDNA_fragmentomics		line-1 hypomethylation				none		12	2	4	0	2	20	False	cat5_methylation_multimodal
38961476	Tissue of origin detection for cancer tumor using low-depth cfDNA samples through combination of tumor-specific methylation atlas and genome-wide methylation density in graph convolutional neural networks.	10.1186/s12967-024-05416-z	Journal of translational medicine	2024	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis			cfDNA_methylation	deep_learning					none		12	4	0	0	4	20	False	cat5_methylation_multimodal
