pmid	title	doi	journal	pub_year	cancer_type	modality	task_type	study_design	screening_or_clinical	cohort_size	stage_info	input_modalities	model_type	comparator	auc	sensitivity	specificity	validation_type	key_limitations	relevance	design_quality	metric_comparability	generalizability	impact	total_score	core_library	category
39728732	Oral microbiota as a biomarker for predicting the risk of malignancy in indeterminate pulmonary nodules: a prospective multicenter study.	10.1097/JS9.0000000000002152	International journal of surgery (London, England)	2025	lung	other	diagnosis	prospective_cohort	clinical_diagnosis	70		other	random_forest		0.887			none		5	12	12	10	4	43	False	cat2_single_modality_screening
40380218	A plasma 9-microRNA signature for lung cancer early detection: a multicenter analysis.	10.1186/s40364-025-00787-x	Biomarker research	2025	lung	LDCT	screening	other	both	276	early	LDCT|CT|clinical_features|miRNA	other_ML		0.78			none		13	8	9	8	4	42	False	cat2_single_modality_screening
31732678	Pretreatment 18F-FDG PET/CT Radiomics Predict Local Recurrence in Patients Treated with Stereotactic Body Radiotherapy for Early-Stage Non-Small Cell Lung Cancer: A Multicentric Study.	10.2967/jnumed.119.228106	Journal of nuclear medicine : official publication, Society of Nuclear Medicine	2020	lung	LDCT	diagnosis	retrospective_cohort	clinical_diagnosis	27	early	LDCT|imaging				1.0	0.96	none		10	8	15	7	2	42	False	cat2_single_modality_screening
36194194	Early stage NSCLS patients' prognostic prediction with multi-information using transformer and graph neural network model.	10.7554/eLife.80547	eLife	2022	lung	multimodal	diagnosis	other	clinical_diagnosis	1705	early	clinical_features|imaging	deep_learning	a tnm model and a resnet-graph model				external_validation		5	16	7	10	3	41	False	cat2_single_modality_screening
41234819	Advances and challenges in circulating tumor DNA-based early detection of lung cancer.	10.21037/tcr-2025-1332	Translational cancer research	2025	lung	cfDNA_methylation	screening	prospective_cohort	both		mixed	LDCT|CT|cfDNA_fragmentomics|ctDNA						none		13	10	6	3	8	40	False	cat2_single_modality_screening
40682054	Machine learning and discriminant analysis model for predicting benign and malignant pulmonary nodules.	10.1186/s12911-025-03067-8	BMC medical informatics and decision making	2025	lung	other	screening	case_control	screening	5197		CT	random_forest	pkuph and block models	0.866			none		8	14	9	5	4	40	False	cat2_single_modality_screening
37330511	Early detection and stratification of lung cancer aided by a cost-effective assay targeting circulating tumor DNA (ctDNA) methylation.	10.1186/s12931-023-02449-8	Respiratory research	2023	lung	blood_protein	screening	case_control	both	209	early	blood_protein|ctDNA	ensemble		0.85			none		8	10	17	1	3	39	False	cat2_single_modality_screening
38159298	Pulmonary circulatory system characteristics are associated with future lung cancer risk.	10.1002/mp.16930	Medical physics	2024	lung	LDCT	screening	other	both	3635		LDCT|CT|clinical_features			0.74			none		13	13	7	2	4	39	False	cat2_single_modality_screening
41327467	From autoimmune inflammation to malignancy: causal genetic evidence for the RA-squamous cell lung cancer axis.	10.1186/s13075-025-03703-8	Arthritis research & therapy	2025	lung	other	screening	other	both	111752		other	random_forest		0.57			none		5	13	12	5	4	39	False	cat2_single_modality_screening
38988991	Pulmonary nodule detection in low dose computed tomography using a medical-to-medical transfer learning approach.	10.1117/1.JMI.11.4.044502	Journal of medical imaging (Bellingham, Wash.)	2024	lung	LDCT	screening	other	both	60		LDCT|CT|imaging		the latter approach obtained a precision of 0		0.93	0.923	none		13	6	15	0	4	38	False	cat2_single_modality_screening
40943394	The Impact of Artificial Intelligence on Lung Cancer Diagnosis and Personalized Treatment.	10.3390/ijms26178472	International journal of molecular sciences	2025	lung	multimodal	screening	other	both		late	imaging	other_ML					external_validation		11	8	0	7	12	38	False	cat2_single_modality_screening
34995129	Blood-Based Biomarker Panel for Personalized Lung Cancer Risk Assessment.	10.1200/JCO.21.01460	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2022	lung	other	screening	other	both			other	ensemble	current us preventive services task force (uspstf) screening				none		8	4	15	0	11	38	False	cat2_single_modality_screening
40841456	Liquid biopsy diagnostics for non-small cell lung cancer via elucidation of tRNA signatures.	10.1038/s43856-025-01068-2	Communications medicine	2025	lung	LDCT	early_detection	other	both		early	LDCT			0.85			external_validation		13	8	7	5	4	37	False	cat2_single_modality_screening
41535791	Prediction hospital mortality for critical illness lung cancer patients with pneumonia.	10.1186/s12879-025-12484-z	BMC infectious diseases	2026	lung	other	screening	other	both	1046		other	other_ML					external_validation		8	17	0	7	4	36	False	cat2_single_modality_screening
41928658	MRI for Lung Cancer Management: Any Closer to Clinical Application?	10.1002/jmri.70308	Journal of magnetic resonance imaging : JMRI	2026	lung	LDCT	screening	RCT	both			LDCT|CT|imaging						none		10	12	3	6	4	35	False	cat2_single_modality_screening
40640822	Non-invasive identification of TKI-resistant NSCLC: a multi-model AI approach for predicting EGFR/TP53 co-mutations.	10.1186/s12890-025-03805-8	BMC pulmonary medicine	2025	lung	LDCT	diagnosis	other	clinical_diagnosis	2171		LDCT|CT	random_forest		0.843			none		10	13	6	2	4	35	False	cat2_single_modality_screening
39799530	Transforming cancer screening: the potential of multi-cancer early detection (MCED) technologies.	10.1007/s10147-025-02694-5	International journal of clinical oncology	2025	multi_cancer	other	screening	prospective_cohort	both			other						none		6	8	6	3	12	35	False	cat2_single_modality_screening
41406506	Combining cell-free DNA fragmentomes and total tumour volume improves prognostication and tumour response evaluation in patients with colorectal cancer liver metastases.	10.1016/j.ebiom.2025.106081	EBioMedicine	2026	lung	multimodal	diagnosis	other	clinical_diagnosis	202		cfDNA_fragmentomics|ctDNA	Cox		0.78			none		8	8	7	4	8	35	False	cat2_single_modality_screening
41225387	The clinical value of predicting lymphovascular invasion in patients with invasive lung adenocarcinoma based on the intratumoral and peritumoral CT radiomics models.	10.1186/s12885-025-15128-2	BMC cancer	2025	lung	multimodal	multimodal_fusion	other	clinical_diagnosis	384		CT|blood_protein|imaging	logistic_regression					external_validation		8	12	5	6	4	35	False	cat2_single_modality_screening
40264240	Neutrophil-to-lymphocyte ratio as a prognostic marker for lung cancer in combined pulmonary fibrosis and emphysema patients.	10.1186/s40001-025-02595-3	European journal of medical research	2025	lung	blood_protein	diagnosis	retrospective_cohort	clinical_diagnosis	80	late	blood_protein	Cox		0.651	0.666	0.621	none		5	7	18	0	4	34	False	cat2_single_modality_screening
40565055	XGB-BIF: An XGBoost-Driven Biomarker Identification Framework for Detecting Cancer Using Human Genomic Data.	10.3390/ijms26125590	International journal of molecular sciences	2025	lung	other	diagnosis	other	clinical_diagnosis			other	random_forest					external_validation		5	8	4	5	12	34	False	cat2_single_modality_screening
35998020	Whole-genome bisulfite sequencing analysis of circulating tumour DNA for the detection and molecular classification of cancer.	10.1002/ctm2.1014	Clinical and translational medicine	2022	lung	other	screening	other	both	123		ctDNA	other_ML		0.971			none		8	9	6	7	3	33	False	cat2_single_modality_screening
39300939	Advances in early detection of non-small cell lung cancer: A comprehensive review.	10.1002/cam4.70156	Cancer medicine	2024	lung	LDCT	screening	other	both			LDCT|CT		other radiological screening methods, endobronchial optical		0.914		none		13	2	10	0	8	33	False	cat2_single_modality_screening
38927934	Enhancing Early Lung Cancer Diagnosis: Predicting Lung Nodule Progression in Follow-Up Low-Dose CT Scan with Deep Generative Model.	10.3390/cancers16122229	Cancers	2024	lung	LDCT	screening	other	both	776		LDCT|CT	other_ML	the auc of 0	0.827			none		10	10	7	2	4	33	False	cat2_single_modality_screening
32504345	Automated lung cancer diagnosis using three-dimensional convolutional neural networks.	10.1007/s11517-020-02197-7	Medical & biological engineering & computing	2020	lung	LDCT	diagnosis	other	clinical_diagnosis	2018		LDCT|imaging	deep_learning		0.913			none		10	12	6	2	2	32	False	cat2_single_modality_screening
28932985	Lung cancer screening with MRI: results of the first screening round.	10.1007/s00432-017-2521-4	Journal of cancer research and clinical oncology	2018	lung	LDCT	screening	other	screening	224		LDCT						none		13	6	6	1	6	32	False	cat2_single_modality_screening
39263016	Assessing the transportability of radiomic models for lung cancer diagnosis: commercial vs. open-source feature extractors.	10.21037/tlcr-24-281	Translational lung cancer research	2024	lung	multimodal	diagnosis	other	clinical_diagnosis	278		CT|imaging		mayo alone, with commercial clinrad achieving cnri of 0	0.8			none		5	9	9	1	8	32	False	cat2_single_modality_screening
40180245	Lipidomic signatures as predictive biomarkers for early-onset lung cancer: Identification and development of a risk prediction model.	10.1016/j.jare.2025.03.045	Journal of advanced research	2026	lung	other	screening	other	both	843		clinical_features	random_forest					internal_CV		8	11	6	2	4	31	False	cat2_single_modality_screening
35793574	Detection of non-metastatic non-small-cell lung cancer in urine by methylation-specific PCR analysis: A feasibility study.	10.1016/j.lungcan.2022.06.013	Lung cancer (Amsterdam, Netherlands)	2022	lung	other	diagnosis	prospective_cohort	clinical_diagnosis		mixed	ctDNA	logistic_regression	controls (p =				internal_CV		5	11	4	3	7	30	False	cat2_single_modality_screening
37540816	Optimizing Lung Cancer Screening With Risk Prediction: Current Challenges and the Emerging Role of Biomarkers.	10.1200/JCO.23.01060	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2023	lung	multimodal	screening	other	both			clinical_features						none		8	2	6	3	11	30	False	cat2_single_modality_screening
40317486	Multi-cancer early detection via a DNA methylation multiplex ddPCR-based blood test.	10.1002/ijc.35467	International journal of cancer	2025	multi_cancer	other	screening	other	both	485	early	other						none		6	8	6	1	8	29	False	cat2_single_modality_screening
40227817	Exploratory Algorithms to Aid in Risk of Malignancy Prediction for Indeterminate Pulmonary Nodules.	10.3390/cancers17071231	Cancers	2025	lung	blood_protein	screening	case_control	both	379	early	blood_protein|clinical_features			0.872			none		8	10	6	1	4	29	False	cat2_single_modality_screening
40143527	MoLPre: A Machine Learning Model to Predict Metastasis of cT1 Solid Lung Cancer.	10.1111/cts.70186	Clinical and translational science	2025	lung	other	diagnosis	other	clinical_diagnosis		early	other	random_forest	the gradient boosting and adaboost classifiers in the intern				none		5	4	7	0	12	28	False	cat2_single_modality_screening
33137463	Contribution of a Blood-Based Protein Biomarker Panel to the Classification of Indeterminate Pulmonary Nodules.	10.1016/j.jtho.2020.09.024	Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer	2021	lung	blood_protein	risk_assessment	case_control	clinical_diagnosis			blood_protein|imaging	other_ML	a smoking-based lung cancer risk model, can provide discrimi				none		5	6	6	0	10	27	False	cat2_single_modality_screening
35729538	Development and validation of reassigned CEA, CYFRA21-1 and NSE-based models for lung cancer diagnosis and prognosis prediction.	10.1186/s12885-022-09728-5	BMC cancer	2022	lung	blood_protein	screening	other	both		late	blood_protein		the same tms that were considered individually, this diagnos				external_validation		5	8	4	5	3	25	False	cat2_single_modality_screening
33653596	Autoantibody Signatures as a Biomarker Panel for the Detection of Nasopharyngeal Carcinoma.	10.1016/j.arcmed.2021.02.007	Archives of medical research	2021	lung	other	early_detection	case_control	clinical_diagnosis	132		other			0.674			none		5	6	12	0	2	25	False	cat2_single_modality_screening
40562295	The predictive value of ferroptosis marker SLC7A11 in the prognosis of advanced non-small cell lung cancer patients.	10.1016/j.clinbiochem.2025.110961	Clinical biochemistry	2025	lung	blood_protein	diagnosis	prospective_cohort	clinical_diagnosis	142		blood_protein	logistic_regression	the survivors group (n = 51)				internal_CV		5	13	0	3	4	25	False	cat2_single_modality_screening
39633837	A Novel Lysosome-Related Gene Signature Predicts Lung Cancer Prognosis: A Bioinformatics-Driven Study.	10.1002/hsr2.70236	Health science reports	2024	lung	other	diagnosis	other	clinical_diagnosis	109		other	Cox					none		5	7	0	0	12	24	False	cat2_single_modality_screening
34131323	Ultrasensitive detection of circulating tumour DNA via deep methylation sequencing aided by machine learning.	10.1038/s41551-021-00746-5	Nature biomedical engineering	2021	lung	other	screening	other	screening	308	early	ctDNA	other_ML				0.96	none		5	6	9	1	2	23	False	cat2_single_modality_screening
33408594	Artificial Intelligence and its future potential in lung cancer screening.	10.17179/excli2020-3095	EXCLI journal	2020	lung	AI_model	screening	other	both			imaging	deep_learning	a human being and can be used to analyze and interpret compl				none		11	4	6	0	2	23	False	cat2_single_modality_screening
32831492	Appraisal of Deep-Learning Techniques on Computer-Aided Lung Cancer Diagnosis with Computed Tomography Screening.	10.4103/jmp.JMP_101_19	Journal of medical physics	2020	lung	LDCT	screening	other	both			LDCT|CT	deep_learning					none		13	2	3	3	2	23	False	cat2_single_modality_screening
40804615	Identification of optimal biomarkers associated with distant metastasis in breast cancer using Boruta and Lasso machine learning algorithms.	10.1186/s12885-025-14664-1	BMC cancer	2025	lung	other	diagnosis	other	clinical_diagnosis	348	late	other	logistic_regression					none		8	6	4	1	4	23	False	cat2_single_modality_screening
40090067	ChatGPT vs. Gemini: Comparative accuracy and efficiency in Lung-RADS score assignment from radiology reports.	10.1016/j.clinimag.2025.110455	Clinical imaging	2025	lung	LDCT	screening	retrospective_cohort	both			LDCT|CT|imaging		other models, with chatgpt-3				none		13	5	0	0	4	22	False	cat2_single_modality_screening
39347601	The American Cancer Society National Lung Cancer Roundtable strategic plan: Optimizing strategies for lung nodule evaluation and management.	10.1002/cncr.35181	Cancer	2024	lung	LDCT	screening	other	both		early	LDCT|CT|imaging						none		13	2	0	3	4	22	False	cat2_single_modality_screening
41454306	Multimodal innovations and clinical applications of Robotic-assisted bronchoscopy in pulmonary nodule diagnosis: a review of recent advances.	10.1186/s12890-025-03936-y	BMC pulmonary medicine	2025	lung	LDCT	screening	other	both		early	LDCT|imaging		conventional approaches, with improved lesion targeting and				none		16	2	0	0	4	22	False	cat2_single_modality_screening
41672291	Aptasensors for NNK biomarkers in smoking-induced lung cancer.	10.1016/j.cca.2026.120891	Clinica chimica acta; international journal of clinical chemistry	2026	lung	other	screening	other	both			other						none		8	4	6	0	4	22	False	cat2_single_modality_screening
28891455	Epigenetic Biomarkers for Risk Assessment of Particulate Matter Associated Lung Cancer.	10.2174/1389450118666170911114342	Current drug targets	2018	lung	other	screening	other	both		early	imaging|miRNA						none		8	4	6	0	2	20	False	cat2_single_modality_screening
40897746	Development and validation of a methylation-specific droplet digital PCR multiplex for lung cancer detection.	10.1038/s41598-025-15228-w	Scientific reports	2025	lung	other	diagnosis	other	clinical_diagnosis		late	ctDNA						none		5	5	6	0	4	20	False	cat2_single_modality_screening
41169155	Integration of Machine Learning, Bioinformatics, and Experimental Validation to Identify Novel Diagnostic and Prognostic Biomarkers Associated With Succinylation in Lung Adenocarcinoma.	10.1002/ddr.70184	Drug development research	2025	lung	multimodal	diagnosis	other	clinical_diagnosis			other	random_forest		0.912			none		5	5	6	0	4	20	False	cat2_single_modality_screening
35870539	Improving malignancy risk prediction of indeterminate pulmonary nodules with imaging features and biomarkers.	10.1016/j.cca.2022.07.010	Clinica chimica acta; international journal of clinical chemistry	2022	lung	blood_protein	diagnosis	other	clinical_diagnosis	338		blood_protein|clinical_features|imaging	random_forest	the current standard of risk estimation (mayo)				none		5	8	3	1	3	20	False	cat2_single_modality_screening
41726431	Automating Lung-RADS Categorization And Follow-Up Recommendations Using In-Context Learning With Large Language Models.	10.21203/rs.3.rs-24642/v4	AMIA ... Annual Symposium proceedings. AMIA Symposium	2024	lung	LDCT	screening	other	screening			LDCT|CT|imaging						none		13	2	0	0	4	19	False	cat2_single_modality_screening
35626398	The Promise of Multicancer Early Detection. Comment on Pons-Belda et al. Can Circulating Tumor DNA Support a Successful Screening Test for Early Cancer Detection? The Grail Paradigm. Diagnostics 2021, 11, 2171.	10.3390/diagnostics12051243	Diagnostics (Basel, Switzerland)	2022	multi_cancer	other	screening	other	both			ctDNA						none		6	2	3	0	8	19	False	cat2_single_modality_screening
37969964	Genetic susceptibility loci of lung cancer are associated with malignant risk of pulmonary nodules and improve malignancy diagnosis based on CEA levels.	10.21147/j.issn.1000-9604.2023.05.07	Chinese journal of cancer research = Chung-kuo yen cheng yen chiu	2023	lung	blood_protein	diagnosis	case_control	clinical_diagnosis			blood_protein		a low prs [odds ratio (or)=2				none		5	4	2	0	7	18	False	cat2_single_modality_screening
40441343	Integrated metabolomics and lipidomics reveal plasma markers of non-small cell lung cancer with brain metastasis.	10.1016/j.cca.2025.120399	Clinica chimica acta; international journal of clinical chemistry	2025	lung	multimodal	early_detection	other	both			other	logistic_regression					none		8	6	0	0	4	18	False	cat2_single_modality_screening
41233929	The lung cancer-associated blood biomarker hPG80 exhibits a reversible increase in response to smoking in asymptomatic individuals.	10.1186/s40364-025-00861-4	Biomarker research	2025	lung	other	diagnosis	other	clinical_diagnosis			clinical_features						none		5	2	7	0	4	18	False	cat2_single_modality_screening
40946553	Clinical translation of ctDNA epigenetic signatures in lung cancer: An integrated strategy for early detection, therapeutic guidance, and prognostic stratification.	10.1016/j.bbrc.2025.152636	Biochemical and biophysical research communications	2025	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis			ctDNA						none		5	2	6	0	4	17	False	cat2_single_modality_screening
31256186	Application of 18F-FDG PET-CT in the management of pulmonary nodule and mass - a pictorial review.		The Medical journal of Malaysia	2019	lung	LDCT	screening	other	both			LDCT|imaging						none		13	2	0	0	2	17	False	cat2_single_modality_screening
38996549	Circulating tumor cells with increasing aneuploidy predict inferior prognosis and therapeutic resistance in small cell lung cancer.	10.1016/j.drup.2024.101117	Drug resistance updates : reviews and commentaries in antimicrobial and anticancer chemotherapy	2024	lung	other	diagnosis	other	clinical_diagnosis	126		other		acc, acs exhibited superior predictive power for pfs and os				none		5	4	4	0	4	17	False	cat2_single_modality_screening
37577306	Radiomic signature accurately predicts the risk of metastatic dissemination in late-stage non-small cell lung cancer.	10.21037/tlcr-23-60	Translational lung cancer research	2023	lung	imaging	diagnosis	other	clinical_diagnosis	115	late	CT|imaging	logistic_regression					none		5	5	0	0	7	17	False	cat2_single_modality_screening
41411615	Comprehensive Analysis of the Value of Dynamic Changes in Circulating Tumor DNA in Small Cell Lung Cancer.	10.1200/PO-25-00574	JCO precision oncology	2025	lung	other	diagnosis	other	clinical_diagnosis	81		ctDNA		limited-stage cases				none		5	5	3	0	4	17	False	cat2_single_modality_screening
40302376	Microbial biomarker development for detection and prognosis of early-stage non-small cell lung cancer.	10.1177/18758592251322045	Cancer biomarkers : section A of Disease markers	2025	lung	other	early_detection	other	clinical_diagnosis		early	other						none		5	2	6	0	4	17	False	cat2_single_modality_screening
29196095	Prognostic value of combining a quantitative image feature from positron emission tomography with clinical factors in oligometastatic non-small cell lung cancer.	10.1016/j.radonc.2017.11.006	Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology	2018	lung	other	diagnosis	other	clinical_diagnosis	79	late	imaging	Cox	those of the metastatic sites				none		5	4	0	0	6	15	False	cat2_single_modality_screening
40269593	Thoracic metabolic tumor volume predicts survival in advanced lung adenocarcinoma: a PET/computed tomography-based cohort study.	10.1097/MNM.0000000000001983	Nuclear medicine communications	2025	lung	multimodal	diagnosis	retrospective_cohort	clinical_diagnosis	109	late	CT|imaging	Cox					none		0	7	2	0	4	13	False	cat2_single_modality_screening
37038295	Identification of CLIC5 as a Prognostic Biomarker and Correlated Immunomodulator for Lung Adenocarcinoma.	10.2174/1386207326666230410103255	Combinatorial chemistry & high throughput screening	2023	lung	multimodal	diagnosis	other	clinical_diagnosis	167		other	Cox					none		5	4	0	0	3	12	False	cat2_single_modality_screening
34277151	Construction and validation of a 15-gene ferroptosis signature in lung adenocarcinoma.	10.7717/peerj.11687	PeerJ	2021	lung	other	diagnosis	other	clinical_diagnosis			other	Cox					none		0	4	0	0	2	6	False	cat2_single_modality_screening
